id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
6346289,Podravska,Maribor,Maribor,"TABOR, MARIBOR",270.2,dvostanovanjska,1894,2013,841.0,398897.0
6352698,Podravska,Maribor,Maribor,"TABOR, MARIBOR",300.0,samostojna,1938,2014,900.0,357000.0
6371177,Podravska,Maribor,Maribor,"TABOR, VURNIKOVA KOLONIJA",77.9,vrstna,1928,1998,170.0,105000.0
6343474,LJ-mesto,Lj. Šiška,Ljubljana,TACEN,108.0,dvojček,2005,,30.0,239000.0
6370429,LJ-mesto,Lj. Šiška,Ljubljana,TACEN,108.0,dvojček,2005,,30.0,239000.0
6366276,LJ-mesto,Lj. Šiška,Ljubljana,TACEN,130.4,samostojna,1991,,306.0,235000.0
6312400,LJ-mesto,Lj. Šiška,Ljubljana,TACEN,144.0,samostojna,1966,,329.0,220000.0
6351068,LJ-mesto,Lj. Šiška,Ljubljana,TACEN,197.3,samostojna,1980,,601.0,375000.0
6364079,LJ-mesto,Lj. Šiška,Ljubljana,TACEN,339.3,samostojna,1972,2004,,278000.0
6317822,LJ-mesto,Lj. Šiška,Ljubljana,"TACEN, BLIŽINA TACNA",187.0,samostojna,1997,2001,1198.0,369000.0
